index,Time Unit,Central Bohemia Region,South Bohemian Region,The Pilsen Region,The Ústí Region,Hradec Králové Region,Southern Moravia Region,Moravian- Silesian Region,The Olomouc Region,Zlín Region,Vysočina Region,The Pardubice Region,Liberec Region,Karlovy Vary Region,City of Prague,Average
0,2013-01-01,24.123,19.4501,21.5452,33.4044,17.4139,22.5067,29.5471,21.6301,14.2763,15.9782,16.6046,25.8738,27.0414,30.1334,22.823442857142854
1,2013-02-01,24.0126,18.4571,19.9875,30.338,16.7823,22.2745,28.923,17.8711,12.0043,13.6929,14.4733,23.8185,23.3853,31.2096,21.23071428571429
2,2013-03-01,26.1877,20.585,19.69,30.9537,17.5944,23.8403,30.5199,20.4554,14.1576,16.408,16.1396,28.7284,23.9782,29.7747,22.786635714285715
3,2013-04-01,26.3611,20.2855,19.585,31.0744,15.8439,22.9541,30.3578,19.5157,13.4116,14.2984,15.9846,29.4135,21.8044,33.0033,22.42095
4,2013-05-01,25.904,22.3188,19.9525,31.1468,15.9883,22.4035,32.0682,18.9205,13.8693,15.236,16.1589,28.1118,22.2984,24.035,22.029428571428575
5,2013-06-01,24.2096,20.254,19.62,29.4567,16.3673,20.3043,29.5958,19.547,12.9538,14.3374,15.7908,25.5541,20.0587,24.3937,20.888800000000003
6,2013-07-01,26.3453,20.0333,20.11,31.8832,16.7823,22.2745,29.6931,21.8964,14.4797,15.9782,15.0933,28.089,23.2536,25.4699,22.241557142857143
7,2013-08-01,23.6028,19.5605,19.7075,32.4989,16.8184,20.9667,28.923,18.8578,13.7337,14.4937,14.0277,27.5409,20.7833,22.9588,21.033835714285715
8,2013-09-01,24.6746,20.2697,20.215,30.4949,15.5552,21.2851,28.3474,18.8109,12.6486,13.4389,12.6908,26.696,25.8227,26.5461,21.249707142857144
9,2013-10-01,25.7149,18.4098,21.4402,30.2172,15.88,21.156,29.3769,20.3145,12.7164,14.1226,14.9383,27.4496,25.3286,30.1334,21.942742857142857
10,2013-11-01,22.933,20.7268,18.8499,26.837,15.2124,19.5299,26.7262,19.0301,11.8347,12.4427,12.4583,24.9147,21.3762,16.1429,19.21534285714286
11,2013-12-01,20.2771,16.3923,19.3049,22.0321,14.4183,16.9833,23.2972,14.4566,9.851,10.7043,11.7995,22.6767,14.8876,,16.698530769230768
12,2014-01-01,23.6107,23.895,20.9501,32.8128,19.4711,22.0508,28.3231,21.5675,13.7507,15.8806,18.5421,27.3811,24.637,,22.528661538461538
13,2014-02-01,21.5696,18.6778,17.8172,26.9335,16.0966,18.8675,25.6643,17.8554,12.5638,14.4546,14.0083,24.5493,17.6872,,18.980392307692306
14,2014-03-01,23.4846,20.8057,18.0623,30.6881,17.053,20.9667,28.2988,20.8157,12.9029,13.7124,15.3839,24.869,22.0679,,20.700846153846154
15,2014-04-01,22.8069,20.7899,17.4322,28.0201,16.3673,20.4763,26.4506,17.5265,13.7676,13.8491,13.8727,23.9784,20.6516,,19.691476923076923
16,2014-05-01,21.0967,20.6007,17.3797,26.4144,15.6274,19.3062,25.7048,20.5494,12.7333,13.1264,14.202,23.6815,18.346,,19.13603846153846
17,2014-06-01,20.7894,20.3013,16.4171,26.2575,15.1763,19.2804,25.7534,19.641,11.716,12.4818,13.5433,23.1791,19.1035,,18.74154615384615
18,2014-07-01,21.1756,19.2925,18.3248,25.847,16.1688,19.9687,25.3238,19.2181,12.852,13.2241,12.6714,27.1984,19.8611,,19.31740769230769
19,2014-08-01,19.0714,16.6918,15.4894,24.0724,14.8153,19.4353,24.043,15.1145,13.2929,13.2045,13.3108,23.4988,17.2261,,17.635861538461537
20,2014-09-01,18.6143,17.7479,18.0273,25.1951,14.5808,19.3149,24.878,18.6229,12.496,12.9506,13.0008,23.9784,17.3908,,18.215215384615384
21,2014-10-01,19.9383,19.4028,16.8371,26.5955,14.3462,21.156,25.494,17.7458,13.0555,13.9663,12.6326,22.7452,17.8848,,18.600007692307692
22,2014-11-01,17.2037,18.6778,16.1545,22.2736,12.8664,17.6888,22.6974,17.088,11.1396,12.1888,11.4701,20.8726,15.3816,,16.592530769230766
23,2014-12-01,15.8718,14.5482,16.9771,17.8913,11.1521,14.7206,19.1874,14.5663,9.0541,9.3174,9.7264,19.6166,11.2974,,14.148207692307693
24,2015-01-01,18.6774,19.7023,17.5547,28.3219,15.9161,18.5577,22.6082,17.8711,13.1064,14.3179,14.3764,25.4628,20.7833,,19.01970769230769
25,2015-02-01,18.4882,16.8809,15.2444,23.1911,15.0499,16.4499,21.2383,15.6313,11.5973,11.7981,11.5089,20.0734,19.7293,,16.683153846153843
26,2015-03-01,18.4803,17.937,15.4894,23.843,15.9883,18.205,23.1189,16.6494,12.8181,13.7124,12.497,23.9784,18.4118,,17.779153846153843
27,2015-04-01,17.1721,17.8109,16.1195,21.7303,12.7762,18.4115,21.8706,18.153,11.8347,12.9115,12.9039,21.4435,14.5253,,16.743307692307692
28,2015-05-01,16.4786,16.7706,14.9819,20.4869,12.1085,16.8629,20.1196,17.0097,11.0039,11.0754,10.7339,20.3246,15.7439,,15.669261538461539
29,2015-06-01,16.9121,17.4484,15.1394,22.4064,13.8589,18.7556,20.3871,17.8554,10.5461,11.0949,11.7995,21.1695,14.8217,,16.322692307692307
30,2015-07-01,16.8884,16.8337,15.4719,20.8973,11.7296,16.295,21.8462,15.7723,12.5468,10.6652,11.1989,22.1743,15.7439,,16.004884615384615
31,2015-08-01,16.1476,16.8021,13.4767,19.9315,12.8484,16.3466,21.5625,16.1482,11.4448,10.2355,9.4357,21.1467,14.9205,,15.418984615384614
32,2015-09-01,16.1398,16.2347,12.5316,20.7645,11.2965,16.6392,19.5198,15.9759,10.5292,10.8996,10.1526,19.982,13.8995,,14.966530769230769
33,2015-10-01,15.6433,16.014,19.5324,19.2434,11.2784,17.4221,19.309,16.0542,11.36,10.8605,9.6489,21.5121,15.2828,,15.627776923076926
34,2015-11-01,14.2641,13.902,14.0718,17.7706,11.0619,16.0627,18.928,15.553,10.1901,8.9463,8.467,18.726,13.1419,,13.929646153846155
35,2015-12-01,15.2098,12.1839,14.3693,15.67,10.8273,14.9959,15.6288,14.8169,8.0537,7.8719,9.2614,18.726,11.9562,,13.04393076923077
36,2016-01-01,15.3044,17.2119,16.6621,24.0482,12.8484,17.3619,18.5308,16.1952,11.9195,11.3879,11.3926,20.5301,17.4237,,16.216669230769227
37,2016-02-01,15.2965,16.5184,12.6716,19.0623,10.5927,16.5015,18.6524,16.7121,12.0043,11.7395,9.3001,17.6527,14.0641,,14.674476923076924
38,2016-03-01,16.6284,15.021,16.1895,19.3762,12.8484,16.5187,18.2228,15.506,11.3261,11.0168,10.8889,20.7356,14.0971,,15.259653846153848
39,2016-04-01,15.2886,15.021,13.8442,18.2535,10.6107,16.0111,18.9199,15.6783,10.987,8.5556,10.5789,19.4111,12.8784,,14.310638461538463
40,2016-05-01,16.0215,13.8074,14.3693,19.1348,12.1446,16.9919,19.5279,16.3988,10.3766,10.2355,10.0751,20.119,12.0879,,14.71463846153846
41,2016-06-01,14.9655,14.8319,12.7066,19.0261,10.7371,15.5379,18.547,15.4121,9.5458,10.7824,9.8039,16.2596,14.0971,,14.01946153846154
42,2016-07-01,14.0908,13.6813,13.8442,17.2635,10.1235,14.4281,17.8742,15.2241,11.8856,9.3955,9.2614,15.8029,12.8455,,13.51696923076923
43,2016-08-01,14.6818,16.3923,15.1219,19.4849,11.2965,17.336,19.6332,16.3362,10.3766,9.5713,11.2183,17.4928,14.0312,,14.844076923076925
44,2016-09-01,13.1057,13.6182,13.7392,18.1569,11.0799,14.8152,17.3716,15.6627,11.1396,10.9191,9.6101,17.0132,11.5609,,13.676330769230768
45,2016-10-01,14.5321,14.0281,15.2094,18.2776,11.2423,14.7722,16.5448,12.8904,9.3254,8.5165,8.5639,16.2368,13.2407,,13.336938461538459
46,2016-11-01,13.4761,11.4904,14.0368,16.1891,9.2934,14.0581,16.2611,12.859,9.5288,8.7314,8.1182,14.9351,15.7769,,12.673415384615387
